datetime,outdoor_temperature_deg_celsius,relative_humidity_per_cent,wind_speed_m_per_s,diffuse_horizontal_radiation_Wh_per_m2,direct_normal_radiation_Wh_per_m2,ZONE+00_+00_+00:Zone Operative Temperature [C](Hourly),heating_J,cooling_J,heating_kWh,cooling_kWh,internal_gains_kWh,infiltration_energy_kWh,ventilation_energy_kWh,inside_conduction_energy_kWh,windows_energy_constant_temperature_kWh
2020-07-20 12:00:00,22.42,64.0,4.41,261.95,139.0,24.61884291682681,0.0,0.0,0.0,0.0,0.0,0.13450094234733023,0.0,-4.266883833586615,4.132382891239285
2020-07-20 13:00:00,20.67,55.0,5.38,167.7,318.23,24.65392241491599,0.0,0.0,0.0,0.0,0.0,-1.3327535426105634,0.0,-5.0095314992336935,6.3422850418442565
2020-07-20 14:00:00,21.49,55.0,4.76,150.95,579.69,24.75008585303604,0.0,0.0,0.0,0.0,0.0,-0.8675364479321966,0.0,-8.728286003979003,9.5958224519112
2020-07-20 15:00:00,22.5,49.0,5.31,143.65,544.76,24.863187773018986,0.0,0.0,0.0,0.0,0.0,-0.7885490197656779,0.0,-9.462552508476026,10.251101528241705
2020-07-20 16:00:00,22.86,51.0,5.52,90.15,625.24,25.00122268434865,0.0,0.0,0.0,0.0,0.0,-0.4208392981360339,0.0,-10.721540871354597,11.14238016949063
2020-07-20 17:00:00,22.59,50.0,5.24,73.55,466.01,25.082803595629173,0.0,0.0,0.0,0.0,0.0,-0.5933046855516579,0.0,-8.746420031038186,9.339724716589844
2020-07-20 18:00:00,21.75,56.0,4.48,45.15,381.09,25.1052662937172,0.0,0.0,0.0,0.0,0.0,-0.4993686700305533,0.0,-6.55959387793788,7.0589625479684335
2020-07-20 19:00:00,20.57,61.0,4.41,9.65,0.0,24.98518187681668,0.0,0.0,0.0,0.0,0.0,-0.6886886580425796,0.0,0.7838365017495916,-0.09514784370701201
2020-07-20 20:00:00,19.1,65.0,3.79,0.0,0.0,24.869393745230603,0.0,0.0,0.0,0.0,0.0,-1.08674836531431,0.0,1.192123236118704,-0.105374870804394
2020-07-20 21:00:00,17.94,72.0,3.45,0.0,0.0,24.747512799918063,0.0,0.0,0.0,0.0,0.0,-1.1699794378383768,0.0,1.5932051115702286,-0.4232256737318518
2020-07-20 22:00:00,17.07,75.0,3.24,0.0,0.0,24.638335868577705,0.0,0.0,0.0,0.0,0.0,-1.388596821620817,0.0,2.0339515773416457,-0.6453547557208286
2020-07-20 23:00:00,16.36,78.0,3.17,0.0,0.0,24.546828886375835,0.0,0.0,0.0,0.0,0.0,-1.5368510282516534,0.0,2.4095678251892907,-0.8727167969376373
2020-07-21 00:00:00,15.79,82.0,3.17,0.0,0.0,24.4674530624106,0.0,0.0,0.0,0.0,0.0,-1.576023002131654,0.0,2.6801422802989907,-1.1041192781673368
2020-07-21 01:00:00,15.32,84.0,3.1,0.0,0.0,24.393808942169287,0.0,0.0,0.0,0.0,0.0,-1.6872727221762078,0.0,2.869610812128116,-1.1823380899519083
2020-07-21 02:00:00,14.86,87.0,2.97,0.0,0.0,24.32093782115369,0.0,0.0,0.0,0.0,0.0,-1.7452553176505614,0.0,3.0165522516983887,-1.2712969340478273
2020-07-21 03:00:00,14.54,90.0,2.83,0.0,0.0,24.24939551917935,0.0,0.0,0.0,0.0,0.0,-1.752562323171694,0.0,3.1346426068056665,-1.3820802836339725
2020-07-21 04:00:00,14.18,90.0,2.69,0.0,0.0,24.17752443091805,0.0,0.0,0.0,0.0,0.0,-1.9175999767860104,0.0,3.2416314135814965,-1.3240314367954862
2020-07-21 05:00:00,14.32,90.0,2.48,66.2,306.31,24.210840184991724,0.0,0.0,0.0,0.0,0.0,-1.846590840412336,0.0,-2.5902305764730307,4.436821416885366
2020-07-21 06:00:00,15.53,87.0,2.62,111.35,383.82,24.28249559168084,0.0,0.0,0.0,0.0,0.0,-1.448498203279756,0.0,-4.987041988242861,6.435540191522618
2020-07-21 07:00:00,17.71,77.0,2.97,113.2,566.05,24.401454347907706,0.0,0.0,0.0,0.0,0.0,-1.0292007443491766,0.0,-6.712552671029384,7.74175341537856
2020-07-21 08:00:00,19.04,62.0,3.1,152.65,635.89,24.5149265344134,0.0,0.0,0.0,0.0,0.0,-1.355711478083254,0.0,-6.838755681806379,8.194467159889633
2020-07-21 09:00:00,20.36,55.0,3.31,237.05,505.03,24.594263550767277,0.0,0.0,0.0,0.0,0.0,-1.164657843811225,0.0,-5.425892152565939,6.590549996377163
2020-07-21 10:00:00,21.18,52.0,3.31,296.0,407.52,24.648135674544527,0.0,0.0,0.0,0.0,0.0,-0.9226734131172337,0.0,-4.606117366772104,5.528790779889337
2020-07-21 11:00:00,22.01,48.0,3.38,230.7,629.81,24.70776239154276,0.0,0.0,0.0,0.0,0.0,-0.7750827975983963,0.0,-4.5954996871551135,5.37058248475351
2020-07-21 12:00:00,23.03,44.0,3.38,317.7,387.92,24.81568032105369,0.0,0.0,0.0,0.0,0.0,-0.5860164387639326,0.0,-6.527635360244816,7.113651799008749
2020-07-21 13:00:00,23.52,44.0,3.45,253.55,499.53,24.94962226977239,0.0,0.0,0.0,0.0,0.0,-0.3410048947877603,0.0,-8.316830302566887,8.657835197354647
2020-07-21 14:00:00,23.99,43.0,3.59,227.7,491.36,25.092688566646963,0.0,0.0,0.0,0.0,0.0,-0.226978840427437,0.0,-9.417582211070608,9.644561051498044
2020-07-21 15:00:00,24.1,43.0,3.31,194.5,445.74,25.2253108537966,0.0,0.0,0.0,0.0,0.0,-0.19656439282592095,0.0,-9.541102197746179,9.7376665905721
2020-07-21 16:00:00,24.03,42.0,3.31,103.6,590.45,25.366920658626327,0.0,0.0,0.0,0.0,0.0,-0.32013154905974256,0.0,-11.010836412390043,11.330967961449787
2020-07-21 17:00:00,23.55,41.0,2.9,85.8,503.99,25.46088454736378,0.0,0.0,0.0,0.0,0.0,-0.5687096480733062,0.0,-10.024758923429907,10.593468571503212
2020-07-21 18:00:00,22.73,45.0,2.28,69.65,129.7,25.42343905085854,0.0,0.0,0.0,0.0,0.0,-0.5308096513075201,0.0,-3.1890292321145903,3.7198388834221103
2020-07-21 19:00:00,21.41,48.0,1.86,10.75,0.0,25.32795601729921,0.0,0.0,0.0,0.0,0.0,-0.7974330109832737,0.0,0.6205608308612525,0.17687218012202122
2020-07-21 20:00:00,20.14,56.0,1.79,0.0,0.0,25.22853650276047,0.0,0.0,0.0,0.0,0.0,-0.7505286459979863,0.0,1.0855030662974914,-0.3349744202995051
2020-07-21 21:00:00,18.65,60.0,1.45,0.0,0.0,25.117152472772403,0.0,0.0,0.0,0.0,0.0,-1.1376396081621067,0.0,1.5063510207562258,-0.3687114125941191
